Name,Sector,Years of Operation
The Hunt,Retail Trade,6 (2012-2018)
The RealReal UK,Retail Trade,6 (2015-2021)
The Shelf,Professional Scientific and Technical Services,7 (2013-2020)
Theranos,Health Care,15 (2003-2018)
ThingLink,Information,12 (2006-2018)
ThinkUp,Information,7 (2010-2017)
Thread,Retail Trade,8 (2012-2020)
Threadless Artist Shops,Retail Trade,6 (2015-2021)
ThredUp Goody,Retail Trade,5 (2018-2023)
ThriftBooks Indie,Retail Trade,5 (2015-2020)
Thrillist Rewards,Retail Trade,5 (2013-2018)
Thrive Market Organic,Retail Trade,5 (2018-2023)
Thumb,Information,4 (2011-2015)
Thumbtack Local,Administrative and Support Services,8 (2015-2023)
Ticketfly,Arts Entertainment and Recreation,12 (2008-2020)
Tilt,Finance and Insurance,6 (2012-2018)
Timehop,Information,9 (2011-2020)
Tinderbox,Information,5 (2014-2019)
Ting,Information,8 (2012-2020)
Tiny Speck,Information,5 (2009-2014)
TinyChat,Information,9 (2009-2018)
Titan Aerospace,Manufacturing,6 (2011-2017)
ToVieFor,Retail Trade,5 (2010-2015)
Todoist Business,Information,5 (2018-2023)
Toggl,Information,15 (2006-2021)
TokBox,Information,11 (2007-2018)
Tonx,Accommodation and Food Services,5 (2012-2017)
Toopher,Information,7 (2011-2018)
Top Hat,Information,13 (2009-2022)
Topix,Information,14 (2004-2018)
Toptal Designers,Professional Scientific and Technical Services,6 (2015-2021)
Topsy,Information,8 (2007-2015)
Toshl,Finance and Insurance,12 (2008-2020)
Tout,Information,6 (2010-2016)
Traackr,Professional Scientific and Technical Services,12 (2008-2020)
Tractable,Professional Scientific and Technical Services,8 (2014-2022)
Trada,Professional Scientific and Technical Services,7 (2008-2015)
TradeGecko,Retail Trade,9 (2012-2021)
Tradesy,Retail Trade,9 (2012-2021)
Trapit,Information,8 (2011-2019)
Treehouse,Information,11 (2011-2022)
Trello Gold,Information,5 (2017-2022)
Triad,Retail Trade,5 (2015-2020)
Triggermail,Information,5 (2013-2018)
Triplet Therapeutics,Health Care,4 (2018-2022)
TripIt Pro,Administrative and Support Services,8 (2015-2023)
Tripod,Information,8 (1992-2000)
Trunk Club,Retail Trade,9 (2010-2019)
TrustEgg,Finance and Insurance,4 (2012-2016)
Try.com,Retail Trade,4 (2018-2022)
Tubefilter,Information,13 (2008-2021)
TuneIn Premium,Arts Entertainment and Recreation,6 (2015-2021)
Turntable.fm,Arts Entertainment and Recreation,5 (2011-2016)
Tutorspree,Information,4 (2011-2015)
Twilio SendGrid,Information,8 (2015-2023)
Twist,Information,7 (2011-2018)
Twitch Squads,Arts Entertainment and Recreation,4 (2018-2022)
Twitter Fabric,Information,6 (2014-2020)
Twitter Music,Information,2 (2013-2015)
Uber Rush,Transportation and Warehousing,5 (2015-2020)
Udacity Blitz,Information,5 (2017-2022)
Udemy Free,Information,8 (2015-2023)
Ueno,Professional Scientific and Technical Services,6 (2015-2021)
Unbounce,Professional Scientific and Technical Services,12 (2009-2021)
Uncharted Play,Manufacturing,8 (2011-2019)
Uncrate,Retail Trade,15 (2005-2020)
Understory,Professional Scientific and Technical Services,8 (2014-2022)
UnifyID,Information,6 (2015-2021)
Unroll.me,Information,8 (2011-2019)
Untappd Events,Arts Entertainment and Recreation,6 (2015-2021)
UpCounsel,Professional Scientific and Technical Services,9 (2012-2021)
UpOut,Arts Entertainment and Recreation,6 (2011-2017)
Upstart,Finance and Insurance,11 (2012-2023)
Upworthy Insider,Information,5 (2015-2020)
Urban Airship,Information,12 (2009-2021)
UrbanSitter,Administrative and Support Services,11 (2012-2023)
UserVoice,Information,13 (2007-2020)
Ustream,Information,12 (2007-2019)
Vamp,Professional Scientific and Technical Services,6 (2015-2021)
Vanhawks,Manufacturing,6 (2013-2019)
Vator,Information,12 (2006-2018)
Vayable,Administrative and Support Services,9 (2011-2020)
Vdio,Information,2 (2013-2015)
Vedere Bio II,Health Care,3 (2020-2023)
Vemo,Finance and Insurance,6 (2015-2021)
Venmo Groups,Finance and Insurance,5 (2015-2020)
Vesper,Information,5 (2014-2019)
Vessel,Information,4 (2013-2017)
Videology,Professional Scientific and Technical Services,12 (2007-2019)
Vidme,Information,4 (2014-2018)
Viewdle,Information,7 (2006-2013)
Viki,Information,11 (2007-2018)
Vine,Information,5 (2012-2017)
Viper,Information,6 (2014-2020)
Virta Health,Health Care,8 (2014-2022)
Virtustream,Information,12 (2008-2020)
VisiCalc,Information,5 (1979-1984)
VisualDNA,Professional Scientific and Technical Services,11 (2006-2017)
Vittana,Finance and Insurance,7 (2008-2015)
Vive,Health Care,5 (2016-2021)
VocalIQ,Information,6 (2011-2017)
Vodio,Information,4 (2011-2015)
Vook,Information,8 (2009-2017)
Wag,Administrative and Support Services,7 (2015-2022)
Wanderu,Administrative and Support Services,10 (2012-2022)
Washio,Administrative and Support Services,4 (2013-2017)
Wattpad Futures,Arts Entertainment and Recreation,5 (2016-2021)
Wavely,Information,5 (2016-2021)
Wavii,Information,4 (2009-2013)
WayUp,Administrative and Support Services,8 (2014-2022)
Wealthfront Cash,Finance and Insurance,5 (2018-2023)
Wealthsimple Trade,Finance and Insurance,6 (2017-2023)
Weave,Information,8 (2014-2022)
Webvan,Retail Trade,3 (1996-1999)
Weebly Carbon,Information,5 (2018-2023)
WellnessFX,Health Care,9 (2011-2020)
Wepay,Finance and Insurance,12 (2008-2020)
Wesabe,Finance and Insurance,5 (2006-2011)
WhatRunsWhere,Professional Scientific and Technical Services,9 (2011-2020)
Whisper,Information,8 (2012-2020)
Whiteboard,Information,5 (2015-2020)
WhoSay,Information,9 (2010-2019)
Wickr,Information,8 (2012-2020)
WigWag,Manufacturing,6 (2013-2019)
Wildfire,Professional Scientific and Technical Services,7 (2008-2015)
WillCall,Arts Entertainment and Recreation,5 (2011-2016)
Willo,Health Care,5 (2018-2023)
Wimm Labs,Manufacturing,5 (2008-2013)
Wink,Manufacturing,7 (2014-2021)
Wise,Finance and Insurance,12 (2011-2023)
Wishbone,Information,6 (2013-2019)
Wit.ai,Information,4 (2013-2017)
Wittlebee,Retail Trade,3 (2012-2015)
WizIQ,Information,14 (2007-2021)
Womply,Professional Scientific and Technical Services,10 (2011-2021)
Woo,Information,5 (2013-2018)
Wooden,Retail Trade,4 (2016-2020)
Woot,Retail Trade,12 (2004-2016)
Workable,Administrative and Support Services,10 (2012-2022)
Workboard,Information,8 (2013-2021)
WorkMarket,Administrative and Support Services,11 (2010-2021)
WorldMate,Administrative and Support Services,14 (2000-2014)
Woven,Information,5 (2016-2021)
Xmarks,Information,8 (2006-2014)
Xobni,Information,7 (2006-2013)
Y Combinator Research,Professional Scientific and Technical Services,5 (2015-2020)
Yahoo Answers,Information,15 (2005-2020)
Yahoo Buzz,Information,4 (2008-2012)
Yahoo Groups,Information,15 (1998-2013)
Yahoo Live,Information,2 (2008-2010)
Yammer,Information,10 (2008-2018)
Yandex Kit,Information,5 (2014-2019)
YayPay,Finance and Insurance,6 (2015-2021)
Ycharts,Finance and Insurance,12 (2009-2021)
Yelp Deals,Retail Trade,8 (2011-2019)
Yext Answers,Information,5 (2018-2023)
Yik Yak,Information,5 (2013-2018)
Yo,Information,4 (2014-2018)
Yodle,Professional Scientific and Technical Services,13 (2005-2018)
Yog,Information,5 (2014-2019)
Yola,Information,13 (2007-2020)
Yotpo Reviews,Professional Scientific and Technical Services,8 (2015-2023)
YouNow,Arts Entertainment and Recreation,11 (2011-2022)
YourMechanic,Administrative and Support Services,9 (2012-2021)
YPlan,Arts Entertainment and Recreation,6 (2012-2018)
Zapier Plus,Information,5 (2018-2023)
Zappos Labs,Retail Trade,5 (2013-2018)
Zaarly,Retail Trade,6 (2011-2017)
Zagster,Transportation and Warehousing,10 (2007-2017)
Zappos Local,Retail Trade,5 (2015-2020)
Zencoder,Information,7 (2010-2017)
Zendesk Chat,Information,8 (2015-2023)
Zenefits,Administrative and Support Services,8 (2013-2021)
Zerigo Health,Health Care,5 (2018-2023)
ZestFinance,Finance and Insurance,10 (2009-2019)
Zesty,Accommodation and Food Services,7 (2012-2019)
Ziddu,Information,12 (2007-2019)
Zillow Offers,Real Estate and Rental and Leasing,4 (2018-2022)
Zimperium,Information,10 (2010-2020)
Zing,Retail Trade,5 (2013-2018)
Zocdoc Local,Health Care,8 (2015-2023)
Zoho Show,Information,5 (2015-2020)
Zola Books,Retail Trade,6 (2013-2019)
Zomato Base,Accommodation and Food Services,5 (2015-2020)
Zombie Labs,Information,5 (2015-2020)
Zoomdata,Information,9 (2012-2021)
Zopim,Information,8 (2008-2016)
Zscaler Shift,Information,5 (2018-2023)
Zulily,Retail Trade,10 (2009-2019)
Zume,Manufacturing,7 (2015-2022)
Zumper Pro,Real Estate and Rental and Leasing,6 (2015-2021)
Zurb,Professional Scientific and Technical Services,15 (1998-2013)
Zuuka,Information,8 (2009-2017)
Zvents,Arts Entertainment and Recreation,9 (2005-2014)
Zynstra,Information,8 (2012-2020)
Zynga Games,Arts Entertainment and Recreation,12 (2007-2019)
